Wall time,Step,Value
1526596711,71357,99.21875
1526596754,71625,100
1526596757,71647,99.21875
1526596778,71778,98.4375
1526596787,71832,98.4375
1526596792,71870,98.4375
1526596808,71968,99.21875
1526596808,71970,99.21875
1526596840,72176,97.65625
1526596845,72205,100
1526596849,72231,100
1526596851,72243,99.21875
1526596871,72373,99.21875
1526596878,72416,98.4375
1526596885,72460,98.4375
1526596892,72504,99.21875
1526596940,72804,99.21875
1526596997,73167,98.4375
1526596997,73168,99.21875
1526596997,73173,98.4375
1526597025,73344,98.4375
1526597049,73500,99.21875
1526597093,73783,96.875
1526597103,73851,97.65625
1526597113,73905,100
1526597129,74008,98.4375
1526597131,74016,99.21875
1526597138,74068,97.65625
1526597158,74193,99.21875
1526597163,74218,99.21875
1526597163,74219,100
1526597181,74337,99.21875
1526597210,74517,100
1526597234,74672,98.4375
1526597258,74823,99.21875
1526597273,74913,99.21875
1526597293,75047,98.4375
1526597325,75250,99.21875
1526597332,75293,99.21875
1526597335,75311,100
1526597418,75836,99.21875
1526597426,75894,100
1526597446,76014,99.21875
1526597472,76176,100
1526597472,76180,100
1526597473,76183,99.21875
1526597474,76190,100
1526597479,76220,100
1526597499,76347,97.65625
1526597516,76453,99.21875
1526597532,76559,100
1526597533,76568,100
1526597545,76641,99.21875
1526597553,76692,99.21875
1526597560,76735,99.21875
1526597594,76956,100
1526597616,77099,100
1526597620,77116,99.21875
1526597639,77240,99.21875
1526597660,77376,99.21875
1526597666,77411,100
1526597694,77593,98.4375
1526597715,77726,98.4375
1526597747,77930,99.21875
1526597760,78009,98.4375
1526597775,78103,98.4375
1526597782,78154,98.4375
1526597809,78322,100
1526597815,78357,99.21875
1526597818,78378,99.21875
1526597835,78489,100
1526597872,78719,98.4375
1526597880,78772,99.21875
1526597894,78861,98.4375
1526597896,78872,98.4375
1526597912,78972,98.4375
1526597914,78991,98.4375
1526597917,79002,100
1526597938,79144,99.21875
1526597952,79231,100
1526597979,79409,99.21875
1526598042,79804,100
1526598045,79822,100
1526598064,79940,99.21875
1526598074,80003,97.65625
1526598082,80056,97.65625
1526598096,80144,99.21875
1526598119,80298,99.21875
1526598132,80382,100
1526598144,80458,100
1526598192,80770,99.21875
1526598195,80787,98.4375
1526598202,80828,98.4375
1526598212,80899,100
1526598236,81046,97.65625
1526598249,81121,99.21875
1526598286,81362,99.21875
1526598287,81366,100
1526598302,81461,100
1526598310,81510,100
1526598331,81644,100
1526598339,81695,99.21875
1526598363,81852,100
1526598372,81908,100
1526598446,82381,99.21875
1526598460,82472,97.65625
1526598463,82491,98.4375
1526598485,82630,99.21875
1526598490,82660,100
1526598496,82700,99.21875
1526598521,82862,100
1526598522,82866,100
1526598544,83001,100
1526598598,83351,100
1526598603,83388,100
1526598627,83539,99.21875
1526598634,83581,100
1526598635,83589,99.21875
1526598636,83595,100
1526598642,83631,100
1526598642,83635,99.21875
1526598655,83713,100
1526598666,83784,99.21875
1526598667,83796,99.21875
1526598671,83817,99.21875
1526598709,84058,100
1526598709,84060,100
1526598725,84165,100
1526598739,84254,98.4375
1526598742,84270,98.4375
1526598755,84355,100
1526598826,84811,98.4375
1526598830,84830,97.65625
1526598865,85061,100
1526598874,85116,98.4375
1526598939,85529,98.4375
1526598992,85864,100
1526599004,85940,99.21875
1526599016,86014,100
1526599022,86052,98.4375
1526599028,86090,99.21875
1526599031,86105,99.21875
1526599034,86128,99.21875
1526599035,86138,99.21875
1526599043,86189,99.21875
1526599073,86382,100
1526599077,86401,98.4375
1526599113,86629,100
1526599117,86659,100
1526599137,86783,100
1526599138,86791,100
1526599148,86857,100
1526599174,87023,99.21875
1526599188,87114,99.21875
1526599198,87179,98.4375
1526599203,87209,99.21875
1526599213,87275,100
1526599228,87365,99.21875
1526599267,87622,98.4375
1526599272,87651,100
1526599311,87900,100
1526599315,87926,98.4375
1526599316,87928,100
1526599321,87956,98.4375
1526599339,88073,97.65625
1526599371,88279,100
1526599405,88494,99.21875
1526599456,88817,96.09375
1526599466,88880,96.875
1526599469,88896,97.65625
1526599473,88922,100
1526599503,89115,99.21875
1526599505,89135,100
1526599516,89203,98.4375
1526599541,89365,100
1526599545,89393,98.4375
1526599550,89419,99.21875
1526599552,89431,100
1526599558,89473,100
1526599560,89487,100
1526599560,89489,99.21875
1526599611,89811,100
1526599646,90035,99.21875
1526599712,90450,99.21875
1526599717,90483,99.21875
1526599743,90651,100
1526599750,90698,99.21875
1526599758,90751,99.21875
1526599792,90967,100
1526599794,90982,98.4375
1526599796,90998,98.4375
1526599802,91036,98.4375
1526599816,91121,99.21875
1526599873,91483,99.21875
1526599888,91586,98.4375
1526599899,91654,100
1526599917,91773,100
1526599920,91791,97.65625
1526599949,91976,96.09375
1526599952,91997,100
1526599958,92024,100
1526599981,92176,99.21875
1526599996,92269,98.4375
1526600002,92306,97.65625
1526600004,92320,97.65625
1526600033,92502,100
1526600038,92539,100
1526600046,92592,98.4375
1526600073,92755,99.21875
1526600095,92898,99.21875
1526625857,93025,100
1526625859,93057,99.21875
1526625860,93060,100
1526625868,93171,99.21875
1526625872,93216,100
1526625886,93403,100
1526625899,93589,100
1526625912,93746,99.21875
1526625922,93884,97.65625
1526625924,93905,99.21875
1526625926,93931,99.21875
1526625932,94009,98.4375
1526625938,94091,100
1526625947,94211,99.21875
1526625948,94216,100
1526625953,94280,100
1526625955,94308,100
1526625981,94642,99.21875
1526625988,94743,98.4375
1526625991,94783,97.65625
1526625991,94786,97.65625
1526625993,94812,99.21875
1526625994,94815,99.21875
1526625997,94867,100
1526625998,94877,100
1526625999,94888,100
1526626010,95026,100
1526626016,95112,99.21875
1526626030,95292,100
1526626032,95313,98.4375
1526626038,95400,100
1526626047,95508,100
1526626048,95526,100
1526626053,95595,99.21875
1526626055,95619,99.21875
1526626058,95651,99.21875
1526626064,95740,99.21875
1526626072,95839,99.21875
1526626074,95866,99.21875
1526626075,95877,99.21875
1526626087,96033,99.21875
1526626098,96173,96.09375
1526626106,96275,96.875
1526626109,96319,100
1526626109,96320,99.21875
1526626112,96365,100
1526626132,96620,97.65625
1526626142,96744,100
1526626142,96745,97.65625
1526626142,96753,100
1526626144,96769,99.21875
1526626150,96848,98.4375
1526626159,96971,100
1526626161,97000,97.65625
1526626163,97021,100
1526626170,97111,98.4375
1526626180,97246,97.65625
1526626182,97276,99.21875
1526626196,97447,98.4375
1526626205,97569,100
1526626211,97641,99.21875
1526626234,97943,99.21875
1526626243,98054,100
1526626246,98099,100
1526626250,98147,100
1526626265,98347,100
1526626273,98456,98.4375
1526626279,98524,99.21875
1526626284,98597,96.875
1526626291,98687,100
1526626298,98774,100
1526626322,99096,100
1526626331,99206,96.09375
1526626341,99334,100
1526626356,99528,99.21875
1526626382,99876,100
1526626394,100010,99.21875
1526626398,100069,99.21875
1526626406,100184,99.21875
1526626407,100195,100
1526626410,100226,99.21875
1526626410,100230,100
1526626411,100233,99.21875
1526626419,100338,97.65625
1526626419,100350,100
1526626437,100576,97.65625
1526626438,100594,100
1526626444,100666,100
1526626448,100720,97.65625
1526626456,100821,100
1526626458,100843,98.4375
1526626464,100927,96.09375
1526626465,100934,98.4375
1526626483,101168,97.65625
1526626487,101219,100
1526626491,101280,98.4375
1526626497,101359,99.21875
1526626499,101391,100
1526626500,101398,99.21875
1526626507,101486,99.21875
1526626518,101619,100
1526626518,101628,99.21875
1526626540,101911,99.21875
1526626542,101941,100
1526626560,102166,100
1526626565,102236,99.21875
1526626576,102385,98.4375
1526626576,102389,97.65625
1526626588,102524,100
1526626589,102543,100
1526626596,102634,99.21875
1526626597,102648,99.21875
1526626606,102761,100
1526626612,102836,99.21875
1526626612,102839,100
1526626620,102952,100
1526626628,103051,100
1526626630,103073,98.4375
1526626633,103114,100
1526626641,103215,100
1526626643,103241,98.4375
1526626649,103328,99.21875
1526626651,103341,99.21875
1526626653,103377,99.21875
1526626654,103380,100
1526626668,103563,100
1526626670,103594,99.21875
1526626677,103683,99.21875
1526626687,103808,96.09375
1526626689,103841,100
1526626690,103854,99.21875
1526626693,103891,97.65625
1526626694,103901,98.4375
1526626696,103935,96.875
1526626700,103984,97.65625
1526626702,104003,99.21875
1526626703,104020,100
1526626707,104072,97.65625
1526626718,104217,99.21875
1526626720,104241,100
1526626721,104251,98.4375
1526626728,104343,99.21875
1526626734,104423,100
1526626741,104505,100
1526626748,104599,96.09375
1526626749,104602,100
1526626750,104623,100
1526626758,104722,100
1526626774,104939,98.4375
1526626786,105093,99.21875
1526626787,105102,99.21875
1526626801,105283,96.875
1526626801,105284,97.65625
1526626803,105306,100
1526626811,105411,96.875
1526626817,105500,98.4375
1526626819,105513,100
1526626825,105598,100
1526626827,105612,99.21875
1526626827,105624,99.21875
1526626831,105678,99.21875
1526626832,105696,99.21875
1526626839,105781,98.4375
1526626844,105841,98.4375
1526626845,105853,98.4375
1526626849,105904,97.65625
1526626850,105913,98.4375
1526626856,105998,99.21875
1526626865,106109,98.4375
1526626868,106153,98.4375
1526626870,106179,99.21875
1526626880,106307,98.4375
1526626881,106309,100
1526626881,106319,98.4375
1526626887,106397,97.65625
1526626893,106470,98.4375
1526626907,106660,100
1526626913,106735,97.65625
1526626915,106758,100
1526626917,106785,100
1526626927,106913,99.21875
1526626946,107152,99.21875
1526626954,107261,97.65625
1526626960,107333,97.65625
1526626963,107389,98.4375
1526626971,107489,99.21875
1526626972,107496,97.65625
1526626973,107506,99.21875
1526626976,107547,99.21875
1526626978,107570,98.4375
1526626983,107636,100
1526626986,107676,100
1526626990,107721,97.65625
